Sehir,Zaman_Damgasi,Sicaklik_C,Nem_Yuzde,Ruzgar_kmh,Basinc_hPa,Hissedilen_C,Yagis_Var_Mi
Adana,2024-01-03 04:00:00,12.5,91.0,8.85137,1013.546527,11.11111111111111,0.0
Adana,2024-01-03 05:00:00,12.777777777777779,88.0,10.46071,1013.546527,11.11111111111111,0.0
Adana,2024-01-03 06:00:00,12.5,91.0,8.0467,1013.546527,11.11111111111111,0.0
Adana,2024-01-03 07:00:00,11.851851851851853,94.0,5.900913333333334,1014.562444,10.74074074074074,0.0
Adana,2024-01-03 08:00:00,12.5,94.0,3.21868,1014.562444,11.666666666666666,0.0
Adana,2024-01-03 09:00:00,14.444444444444445,82.5,8.046700000000001,1014.562444,11.666666666666666,0.0
Adana,2024-01-03 10:00:00,16.666666666666664,72.0,9.65604,1015.0704025,11.666666666666666,0.0
Adana,2024-01-03 11:00:00,17.5,68.0,10.46071,1014.562444,11.666666666666666,0.0
Adana,2024-01-03 12:00:00,18.88888888888889,64.0,8.85137,1014.0544855,12.222222222222221,0.0
Adana,2024-01-03 13:00:00,19.444444444444443,60.0,6.43736,1013.546527,11.666666666666666,0.0
Adana,2024-01-03 14:00:00,20.0,56.0,3.21868,1013.546527,11.11111111111111,0.0
Adana,2024-01-03 15:00:00,20.0,56.0,6.43736,1013.546527,11.11111111111111,0.0
Adana,2024-01-03 16:00:00,18.88888888888889,60.0,8.0467,1013.546527,11.11111111111111,0.0
Adana,2024-01-03 17:00:00,17.5,70.0,4.023350000000001,1013.546527,12.222222222222221,0.0
Adana,2024-01-03 18:00:00,15.555555555555555,77.0,6.43736,1013.546527,11.666666666666666,0.0
Adana,2024-01-03 19:00:00,13.88888888888889,88.0,2.41401,1014.562444,12.222222222222221,0.0
Adana,2024-01-03 20:00:00,14.444444444444445,85.0,2.41401,1014.562444,12.222222222222221,0.0
Adana,2024-01-03 21:00:00,13.88888888888889,82.0,2.41401,1014.562444,11.11111111111111,0.0
Adana,2024-01-03 22:00:00,12.777777777777779,85.0,1.60934,1014.562444,10.555555555555555,0.0
Adana,2024-01-03 23:00:00,12.5,91.0,4.82802,1014.562444,11.11111111111111,0.0
Adana,2024-01-04 00:00:00,12.5,91.0,4.82802,1014.0544855,11.11111111111111,0.0
Adana,2024-01-04 01:00:00,12.5,91.0,1.60934,1013.546527,11.11111111111111,0.0
Adana,2024-01-04 02:00:00,12.777777777777779,94.0,5.63269,1013.546527,12.222222222222221,0.0
Adana,2024-01-04 03:00:00,13.333333333333334,91.0,6.43736,1013.546527,12.222222222222221,0.0
Adana,2024-01-04 04:00:00,12.777777777777779,94.0,8.0467,1012.53061,12.222222222222221,0.0
Adana,2024-01-04 05:00:00,12.222222222222221,97.0,4.8280199999999995,1012.53061,11.666666666666666,0.0
Adana,2024-01-04 06:00:00,12.222222222222221,94.0,4.82802,1012.53061,11.11111111111111,0.0
Adana,2024-01-04 07:00:00,11.851851851851853,96.0,5.364466666666666,1013.2078879999999,11.111111111111109,0.0
Adana,2024-01-04 08:00:00,12.777777777777779,94.0,8.85137,1013.546527,12.222222222222221,0.0
Adana,2024-01-04 09:00:00,13.88888888888889,94.0,8.85137,1013.546527,12.777777777777779,0.0
Adana,2024-01-04 10:00:00,14.444444444444445,91.0,8.85137,1013.546527,12.777777777777779,0.0
Adana,2024-01-04 11:00:00,16.11111111111111,82.0,10.46071,1013.546527,12.777777777777779,0.0
Adana,2024-01-04 12:00:00,16.666666666666664,82.0,6.43736,1013.0385685,13.333333333333334,0.0
Adana,2024-01-04 13:00:00,17.5,79.5,8.0467,1012.0226515,13.88888888888889,0.0
Adana,2024-01-04 14:00:00,17.77777777777778,73.0,4.023350000000001,1011.5146930000001,12.777777777777779,0.0
Adana,2024-01-04 15:00:00,17.77777777777778,73.0,6.43736,1011.5146930000001,12.777777777777779,0.0
Adana,2024-01-04 16:00:00,17.77777777777778,75.0,6.43736,1011.5146930000001,13.333333333333334,0.0
Adana,2024-01-04 17:00:00,17.22222222222222,82.0,6.43736,1011.5146930000001,13.88888888888889,0.0
Adana,2024-01-04 18:00:00,17.22222222222222,79.5,6.43736,1011.5146930000001,13.333333333333334,1.0
Adana,2024-01-04 19:00:00,16.11111111111111,88.0,3.21868,1011.5146930000001,13.88888888888889,1.0
Adana,2024-01-04 20:00:00,15.0,94.0,4.023350000000001,1011.5146930000001,13.88888888888889,1.0
Adana,2024-01-04 21:00:00,15.0,94.0,3.21868,1011.5146930000001,13.88888888888889,1.0
Adana,2024-01-04 22:00:00,15.0,94.0,1.60934,1011.5146930000001,13.88888888888889,1.0
Adana,2024-01-04 23:00:00,15.0,94.0,3.21868,1011.5146930000001,13.88888888888889,0.0
Adana,2024-01-05 00:00:00,13.88888888888889,97.0,4.023350000000001,1010.498776,13.333333333333334,0.0
Adana,2024-01-05 01:00:00,13.88888888888889,97.0,6.43736,1010.498776,13.333333333333334,0.0
Adana,2024-01-05 02:00:00,13.88888888888889,97.0,3.21868,1010.498776,13.333333333333334,0.0
Adana,2024-01-05 03:00:00,13.88888888888889,100.0,4.82802,1010.498776,13.88888888888889,1.0
Adana,2024-01-05 04:00:00,13.88888888888889,97.0,6.43736,1009.9908175,13.333333333333334,0.0
Adana,2024-01-05 05:00:00,13.333333333333334,100.0,8.85137,1009.482859,13.333333333333334,0.0
Adana,2024-01-05 06:00:00,12.777777777777779,100.0,6.43736,1009.482859,12.777777777777779,0.0
Adana,2024-01-05 07:00:00,12.777777777777779,100.0,10.46071,1009.482859,12.777777777777779,0.0
Adana,2024-01-05 08:00:00,13.88888888888889,97.0,7.242030000000001,1009.482859,13.333333333333334,0.0
Adana,2024-01-05 09:00:00,15.0,94.0,11.26538,1010.498776,13.88888888888889,0.0
Adana,2024-01-05 10:00:00,15.555555555555555,91.0,9.65604,1010.498776,13.88888888888889,0.0
Adana,2024-01-05 11:00:00,17.5,85.5,11.26538,1010.498776,15.0,0.0
Adana,2024-01-05 12:00:00,19.444444444444443,66.5,9.65604,1010.498776,13.055555555555555,0.0
Adana,2024-01-05 13:00:00,21.11111111111111,56.0,9.65604,1010.498776,12.222222222222221,0.0
Adana,2024-01-05 14:00:00,21.11111111111111,49.5,9.65604,1010.498776,10.0,0.0
Adana,2024-01-05 15:00:00,21.666666666666664,35.0,17.70274,1010.498776,5.555555555555555,0.0
Adana,2024-01-05 16:00:00,21.11111111111111,32.0,22.53076,1011.5146930000001,3.333333333333333,0.0
Adana,2024-01-05 17:00:00,20.0,29.0,21.72609,1012.0226515,1.6666666666666667,0.0
Adana,2024-01-05 18:00:00,19.444444444444443,24.0,20.116750000000003,1013.0385685,-1.6666666666666667,0.0
Adana,2024-01-05 19:00:00,19.444444444444443,20.5,22.53076,1013.546527,-3.888888888888889,0.0
